RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15000001,Williams,443,France,Male,55,10,7280.55,1,0,1,115068.83,0
2,15000002,Smith,677,France,Female,28,9,61370.2,1,0,1,138467.04,1
3,15000003,Jones,509,Germany,Female,69,2,8243.57,1,1,0,136030.62,1
4,15000004,Smith,739,Spain,Female,65,8,158824.07,1,0,1,68617.01,0
5,15000005,Martinez a,571,France,Male,70,1,96794.53,3,1,1,17723.99,1
6,15000006,Davis,524,Spain,Male,38,7,137745.94,1,0,1,91515.12,0
7,15000007,Miller,555,Germany,Female,61,3,185210.93,1,1,1,111098.54,0
8,15000008,Brown,557,Germany,Male,70,9,58304.77,3,1,1,27318.28,1
9,15000009,Rodriguez,690,Spain,Female,25,10,111116.32,1,0,1,72523.6,1
10,15000010,Rodriguez,552,Germany,Male,18,0,187030.11,3,1,1,86278.87,0
11,15000011,Martinez,528,Spain,Male,26,0,147842.72,2,0,1,79855.2,0
12,15000012,Brown,705,Spain,Female,54,6,110471.48,4,0,0,27283.43,0
13,15000013,Smith,492,Germany,Female,40,1,192306.83,1,0,1,60546.65,0
14,15000014,Jones,508,Spain,Male,21,10,155593.2,3,0,1,94188.03,1
15,15000015,Miller,666,Spain,Male,39,5,57414.62,1,0,1,22282.37,1
16,15000016,Brown,666,Germany,Female,35,5,37310.01,1,0,1,94883.44,1
17,15000017,Rodriguez,655,Spain,Female,65,7,160249.39,4,1,1,115914.99,1
18,15000018,Martinez,491,France,Female,52,6,112236.89,4,1,1,91771.41,0
19,15000019,Smith,452,Spain,Male,47,1,130406,1,0,1,139978.5,1
20,15000020,Garcia,376,Germany,Male,58,6,127838.01,3,1,0,96987.81,0
21,15000021,Miller,639,Germany,Male,37,5,25604.96,4,0,1,128727,1
22,15000022,Garcia,583,Spain,Male,44,2,170408.69,2,1,1,98496.68,1
23,15000023,Williams,752,France,Male,37,9,122228.97,3,0,1,30051.79,1
24,15000024,Brown,726,Spain,Female,67,9,158157.51,2,0,1,111920.25,0
25,15000025,Martinez,710,Germany,Female,25,5,186000.41,4,1,1,114982.58,0
26,15000026,Brown,659,Germany,Female,18,0,125829.11,3,1,0,75922.42,1
27,15000027,Brown,779,France,Male,19,8,180400.75,4,1,0,119069.06,0
28,15000028,Garcia,499,Spain,Male,27,9,150090.83,3,0,0,68902.49,1
29,15000029,Smith,624,Spain,Female,67,8,43906.34,3,1,0,133047.16,1
30,15000030,Williams,777,Spain,Male,44,5,35249.68,3,0,0,17951.09,1
31,15000031,Brown,610,Spain,Female,65,3,84078.72,1,1,1,125192.88,0
32,15000032,Johnson,642,France,Male,67,8,16786.52,2,1,0,99661.67,1
33,15000033,Johnson,477,France,Male,54,6,88987.86,1,0,1,38023.95,0
34,15000034,Martinez,655,Germany,Male,34,8,107007.4,1,1,0,36779.02,1
35,15000035,Martinez,503,France,Female,61,5,146017.3,1,0,1,58501.36,0
36,15000036,Martinez,463,Germany,Female,59,7,83149.16,3,0,0,104123.97,1
37,15000037,Johnson,624,France,Female,32,6,104822.16,4,0,1,49471.81,0
38,15000038,Davis,494,France,Male,22,5,40676.08,3,0,0,40078.74,0
39,15000039,Rodriguez,424,Spain,Female,28,2,95535.14,4,1,0,77166.5,0
40,15000040,Miller,687,Spain,Female,51,0,27741.67,2,1,0,149729.68,1
41,15000041,Miller,542,France,Male,69,4,175786.92,1,0,1,16626.64,1
42,15000042,Miller,388,France,Male,60,0,107632.69,3,0,0,76103.28,1
43,15000043,Smith,421,Spain,Male,68,7,171633.48,4,0,1,77970.15,1
44,15000044,Miller,729,Germany,Female,34,10,90473.1,3,0,0,28289.66,0
45,15000045,Brown,589,France,Male,45,10,76669.88,4,0,0,59923.82,0
46,15000046,Smith,772,Germany,Male,70,8,104070.65,1,0,1,138041.62,0
47,15000047,Miller,354,Germany,Female,69,10,146333.89,4,1,0,52281.7,1
48,15000048,Miller,589,France,Male,49,5,21265.3,1,1,0,80279.38,0
49,15000049,Miller,671,Spain,Male,27,1,43707.77,1,0,1,128549.24,1
50,15000050,Williams,676,Germany,Male,33,8,178133.44,1,1,1,132401.22,1
51,15000051,Johnson,552,Germany,Female,29,1,11741.03,4,1,0,50243.04,0
52,15000052,Garcia,722,France,Female,28,3,60185.15,4,1,1,82001.36,0
53,15000053,Martinez,579,Germany,Male,60,2,41671.88,4,1,0,36084.43,1
54,15000054,Rodriguez,482,France,Female,24,9,91254.61,1,0,0,106309.97,1
55,15000055,Williams,803,France,Male,44,2,142507.28,2,1,1,34682.56,1
56,15000056,Miller,759,Germany,Female,34,10,65053.18,4,1,1,27560.88,0
57,15000057,Rodriguez,403,Spain,Female,57,5,176350.39,1,1,1,131802.55,0
58,15000058,Davis,710,France,Female,55,7,54331.85,4,0,1,115794.32,0
59,15000059,Davis,707,France,Male,39,2,50845.38,1,1,0,120678.6,0
60,15000060,Garcia,509,France,Female,38,7,150024.49,3,0,0,93322.03,1
61,15000061,Garcia,587,Spain,Female,68,8,180092.41,1,1,0,120783.11,1
62,15000062,Smith,404,Germany,Male,33,0,37167.61,2,1,1,65241.73,0
63,15000063,Johnson,600,Germany,Female,33,10,178172.93,3,1,1,27859.87,1
64,15000064,Brown,665,Germany,Female,26,9,31412.37,3,0,0,67180.26,0
65,15000065,Smith,516,Spain,Female,65,5,132554.74,1,0,0,114591.4,0
66,15000066,Davis,480,France,Male,30,1,116069.75,4,0,0,42791.78,1
67,15000067,Garcia,460,Germany,Male,50,1,169240.19,4,1,1,88826.69,1
68,15000068,Williams,680,France,Female,28,7,23998.66,4,0,0,94831.23,0
69,15000069,Garcia,531,Germany,Male,27,2,16133.91,2,0,0,44470.63,1
70,15000070,Davis,794,Germany,Male,64,0,80635.74,3,1,0,112155.87,1
71,15000071,Davis,763,France,Female,20,3,101535.65,1,0,0,94887.29,0
72,15000072,Martinez,450,Spain,Male,39,10,86878.15,3,0,1,24878.4,0
73,15000073,Smith,743,Spain,Female,56,2,81650.3,3,1,1,39339.57,1
74,15000074,Johnson,511,France,Female,59,4,81450.73,4,1,1,149868.53,0
75,15000075,Smith,790,France,Male,62,8,163749.22,3,1,1,136275.21,1
76,15000076,Brown,488,France,Male,24,3,31828.28,4,0,1,91209.32,0
77,15000077,Davis,569,France,Female,60,9,113927.82,4,0,1,130098.77,0
78,15000078,Davis,728,France,Female,47,2,155565.11,2,1,1,29213.14,1
79,15000079,Miller,552,Spain,Female,39,9,127814.52,1,0,0,108071.18,0
80,15000080,Johnson,390,Germany,Female,24,8,187827.61,1,1,1,73317.28,0
81,15000081,Miller,619,Germany,Female,65,9,23122.48,2,1,0,146267.75,1
82,15000082,Williams,727,France,Male,41,1,84160.04,1,1,0,50020.96,1
83,15000083,Smith,555,Germany,Female,44,9,75456.31,3,1,1,54941.39,1
84,15000084,Rodriguez,351,Germany,Female,62,9,167319.55,3,0,0,39006.78,0
85,15000085,Williams,491,France,Male,57,5,141074.11,3,0,1,138421.33,1
86,15000086,Johnson,474,Spain,Male,25,4,112953.86,4,0,0,96297.47,0
87,15000087,Williams,589,Germany,Male,29,10,71638.39,2,0,1,66394.46,1
88,15000088,Miller,832,Spain,Female,64,8,79945.82,4,1,0,96128.71,0
89,15000089,Smith,422,France,Female,37,8,6331.63,2,1,1,32638.94,1
90,15000090,Davis,743,Germany,Female,59,2,71442.74,2,0,0,108411.56,1
91,15000091,Davis,668,Spain,Male,40,1,111107.04,2,0,1,124168.78,0
92,15000092,Davis,583,France,Male,28,0,85519.37,1,1,1,36638.02,0
93,15000093,Johnson,782,Spain,Male,24,5,139613.21,3,1,1,16117.96,0
94,15000094,Johnson,562,Germany,Female,18,2,123585.9,3,1,0,111436.96,0
95,15000095,Martinez,412,Germany,Female,58,0,170487.54,2,0,1,88712.55,0
96,15000096,Smith,448,Spain,Female,53,5,86832.36,1,1,0,38515.98,1
97,15000097,Johnson,651,Spain,Female,30,7,77159.4,1,1,1,35676.15,0
98,15000098,Miller,753,Germany,Male,65,9,72267.93,3,1,0,83022.97,1
99,15000099,Miller,384,Germany,Female,63,7,133649.52,1,1,1,16008.79,0
100,15000100,Rodriguez,659,Germany,Female,49,4,116667.79,3,1,1,47672.75,1
101,15000101,Williams,734,Spain,Male,66,5,40464.57,1,1,1,117715.04,1
102,15000102,Garcia,552,Germany,Female,34,0,32836.81,4,0,1,38313.78,1
103,15000103,Martinez,789,France,Male,46,1,87583.2,2,1,0,84138.85,0
104,15000104,Martinez,575,Spain,Male,33,4,2974.79,2,0,1,69275.15,0
105,15000105,Williams,630,Spain,Male,30,8,65103.91,2,1,0,121621.98,1
106,15000106,Jones,801,France,Male,63,8,109421.55,4,1,0,123487.5,0
107,15000107,Davis,593,Germany,Male,39,6,114139.99,1,0,0,22166.55,1
108,15000108,Davis,775,France,Female,28,3,123066.54,3,1,1,40551.69,0
109,15000109,Johnson,403,France,Female,67,3,182825.31,2,1,1,29701.66,0
110,15000110,Martinez,724,Germany,Male,51,2,16549.24,3,1,1,66250.5,1
111,15000111,Williams,716,Spain,Male,69,0,106290.66,3,0,1,27334.46,1
112,15000112,Miller,632,France,Male,50,5,49795.42,1,0,1,88686.14,1
113,15000113,Rodriguez,369,Germany,Female,62,8,191054.55,3,0,0,93608.55,0
114,15000114,Williams,833,France,Female,60,6,46704.35,1,1,0,38866.99,1
115,15000115,Rodriguez,625,Spain,Female,32,9,171540.78,4,0,1,56284.78,0
116,15000116,Williams,413,Germany,Female,32,4,191805.67,2,1,1,45263.79,0
117,15000117,Garcia,775,France,Female,57,5,180629,1,0,0,76324.83,1
118,15000118,Williams,810,France,Female,61,10,193055.34,4,0,1,114576.02,1
119,15000119,Williams,696,France,Male,24,9,13128.79,1,1,0,142656.58,0
120,15000120,Davis,504,Spain,Male,36,7,61705.25,1,1,0,58958.51,1
121,15000121,Johnson,628,Spain,Male,54,8,162546.78,3,1,1,60294.95,0
122,15000122,Rodriguez,760,Spain,Female,32,2,13046.97,1,0,0,76382.69,0
123,15000123,Garcia,483,Spain,Male,59,3,158799.86,2,0,0,137331.77,1
124,15000124,Garcia,721,France,Male,42,9,176841.5,3,1,1,135161.1,1
125,15000125,Jones,435,Germany,Male,44,0,175063.79,3,1,1,133701.93,1
126,15000126,Martinez,646,Spain,Male,33,1,33978.29,3,1,0,127789.12,1
127,15000127,Rodriguez,611,Spain,Male,38,6,97586.92,1,0,0,147543.51,1
